B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0.301029996,1.995056964,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.486634793,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.172705261,0,0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.519651466,0,0.477121255,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.931339283,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.315926935,0,0,N
0,0,0,0,0,3.390383061,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.017196484,0,-0.301029996,N
0,0,0,0,0,1.759019608,0,0,0,3.097725445,3.407626509,0.301029996,0,0,0,0,N
0,0,0,0,0.301029996,1.842395661,0,0,0,0,2.74419297,0,0,0,2.935017461,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.204340555,0,0,N
0.477121255,2.594763724,0,-0.176091259,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.714711421,0,0,0,0,2.164283539,0,0,0,3.596607567,0,N
0.301029996,3.375156861,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,1.59773,0,N
0.77815125,2.786269863,1.270991035,0.124938736,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,1.322481401,1.285235729,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.245512668,0,0,N
0,1.435637608,0,0,0,0,0,0,0,0,0,0,0,2.696179214,0,0,N
0,0,0,0,0,0.519933822,0,0,0,0,0,0,0,1.81377706,0,0.477121255,N
0,0,0,0,0,0,0,0,0,0,2.011184167,0,0.301029996,2.216075993,3.494317738,0,N
0,0,0,0,0,2.839951387,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.016042646,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.303169124,0,0.301029996,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.301029996,2.67959696,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.43358179,0,0.477121255,0,0,0,0,N
0,0,0,0,0,3.317072642,0,0,0,0,0,0,0,0,0,0,N
0,1.991313829,0,0,0,0,1.935110867,0,0,0,0,0,0,0,0,0,N
0,1.926373022,0,0,0,0,1.550303873,0,0,0,0,0,0,0,0,0,N
0,1.790461176,0,0.301029996,0,0,0,0,0,0,2.74419297,0,0,0,1.591415956,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.982410551,0,0,N
0,3.302945803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0.477121255,2.140981383,1.310387688,-0.176091259,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,2.656417654,0,0,0,0,0,0,N
0,3.179842713,0,0,0,2.855192201,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.201660545,0,0,N
0.477121255,2.526784861,0,-0.176091259,0,0,0,0,0.301029996,2.441728188,0,-0.301029996,0,3.32566454,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.540075229,0,0,N
0.301029996,3.751355717,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,3.573656945,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.931339283,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.649961075,0,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.915196533,0,0,N
0.477121255,2.195053216,0,-0.477121255,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.074126865,0,0,0,0,0,0,0,0,0,0,0,0,2.540075229,0,N
0,0,0,0,0,0,0,0,0,0.776039096,0,0.301029996,0,0,2.897277116,0.301029996,N
0.301029996,1.712377606,0,0,0,0,0,0,0,0,0,0,0,0,3.076721809,0,N
0,1.214165275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.258477645,0,0.301029996,0,0,0,0,N
0,0,0,0,0,1.271413482,0,0.301029996,0.602059991,0.936168399,1.532278905,0.096910013,0,1.55052745,1.177445324,0.477121255,N
0,0,0,0,0.477121255,3.255462733,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.587471795,0,0.301029996,N
0,1.92799883,0,0,0,0,0,0,0,0,2.82989221,0,0,0,0,0,N
0,3.607445533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.426847698,0,0.301029996,0,0,0,0,0,0,0,0,N
0,1.214416913,0,0,0,0,0,0,0,0,0,0,0,0,2.300540763,0,N
0,0,0,0,0,1.453859771,0,0,0,0,0,0,0,0,1.082698032,0,N
